"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1258","0.0-0.0","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","","","","","","","","","","","","","","","",""
"instructions","1","5080","0.0-1.0","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","[{""page_index"":0,""viewing_time"":840},{""page_index"":1,""viewing_time"":739},{""page_index"":2,""viewing_time"":1378},{""page_index"":3,""viewing_time"":861}]","3819","","","","","","","","","","","","","","",""
"html-keyboard-response","2","5883","0.0-2.0-0.0","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","7525","0.0-2.0-1.0","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","1638","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","1","playful","helper","PosPos","76","93","positive","positive","17","helper","right","true"
"html-keyboard-response","4","8326","0.0-2.0-0.1","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","9574","0.0-2.0-1.1","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","1245","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","2","burden","irresponsible","NegNeg","12","87","negative","negative","75","irresponsible","right","true"
"html-keyboard-response","6","10377","0.0-2.0-0.2","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","12181","0.0-2.0-1.2","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","1801","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","3","smart","virtuous","PosPos","89","25","positive","positive","64","smart","left","true"
"html-keyboard-response","8","12984","0.0-2.0-0.3","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","15202","0.0-2.0-1.3","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","2214","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","4","irresponsible","pleased","PosNeg","87","63","negative","positive","24","irresponsible","left","true"
"html-keyboard-response","10","16005","0.0-2.0-0.4","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","11","17123","0.0-2.0-1.4","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","1111","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","5","successful","worthless","PosNeg","82","0","positive","negative","82","successful","left","true"
"html-keyboard-response","12","17925","0.0-2.0-0.5","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","13","20191","0.0-2.0-1.5","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","2261","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","6","thoughtful","outcast","PosNeg","91","70","positive","negative","21","thoughtful","left","true"
"html-keyboard-response","14","20993","0.0-2.0-0.6","1098","36","post","2","evening","2026-05-20","2026-06-01","2026-06-03T02:08:01.596Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
