"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1621","0.0-0.0","1094","23","pre","8","afternoon","2026-06-10","2026-06-22","2026-06-17T18:15:47.803Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","","","","","","","","","","","","","","","",""
"instructions","1","4196","0.0-1.0","1094","23","pre","8","afternoon","2026-06-10","2026-06-22","2026-06-17T18:15:47.803Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","[{""page_index"":0,""viewing_time"":807},{""page_index"":1,""viewing_time"":490},{""page_index"":2,""viewing_time"":679},{""page_index"":3,""viewing_time"":593}]","2570","","","","","","","","","","","","","","",""
"html-keyboard-response","2","5004","0.0-2.0-0.0","1094","23","pre","8","afternoon","2026-06-10","2026-06-22","2026-06-17T18:15:47.803Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","6140","0.0-2.0-1.0","1094","23","pre","8","afternoon","2026-06-10","2026-06-22","2026-06-17T18:15:47.803Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","1130","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","1","arrogant","hater","NegNeg","76","0","negative","negative","76","arrogant","left","true"
"html-keyboard-response","4","6943","0.0-2.0-0.1","1094","23","pre","8","afternoon","2026-06-10","2026-06-22","2026-06-17T18:15:47.803Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","8172","0.0-2.0-1.1","1094","23","pre","8","afternoon","2026-06-10","2026-06-22","2026-06-17T18:15:47.803Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","1226","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","2","insecure","champion","PosNeg","23","100","negative","positive","77","champion","right","true"
"html-keyboard-response","6","8975","0.0-2.0-0.2","1094","23","pre","8","afternoon","2026-06-10","2026-06-22","2026-06-17T18:15:47.803Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","13979","0.0-2.0-1.2","1094","23","pre","8","afternoon","2026-06-10","2026-06-22","2026-06-17T18:15:47.803Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","null","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","null","pairing","3","worthless","creep","NegNeg","0","17","negative","negative","17","null","null","false"
"html-keyboard-response","8","14782","0.0-2.0-0.3","1094","23","pre","8","afternoon","2026-06-10","2026-06-22","2026-06-17T18:15:47.803Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","19787","0.0-2.0-1.3","1094","23","pre","8","afternoon","2026-06-10","2026-06-22","2026-06-17T18:15:47.803Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","null","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","null","pairing","4","violent","jerk","NegNeg","36","0","negative","negative","36","null","null","false"
