"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt"
"pavlovia","0","1456","0.0-0.0","",""
"instructions","1","12399","0.0-1.0","[{""page_index"":0,""viewing_time"":10938}]","10940"
