"trial_type","trial_index","time_elapsed","internal_node_id","BASE_QUALTRICS_ID","PUNS_ID","baseline_date","baseline_time","session_day","session_slot","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response","which_experiment_phase"
"pavlovia","0","823","0.0-0.0","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T01:06:43.226Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","","","","","","","","","","","","","","","",""
"instructions","1","10854","0.0-1.0","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T01:06:43.226Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","[{""page_index"":0,""viewing_time"":2508},{""page_index"":1,""viewing_time"":3305},{""page_index"":2,""viewing_time"":2679},{""page_index"":3,""viewing_time"":1529}]","10023","","","","","","","","","","","","","","",""
"html-button-response","2","12592","0.0-2.0-0.0","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T01:06:43.226Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","1732","<p style=""font-size:40px;"">Which word describes you more?</p>","0","1","wise","heartbroken","PosNeg","27","49","positive","negative","22","wise","left","true","pairing"
"html-button-response","3","13774","0.0-2.0-0.1","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T01:06:43.226Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","1179","<p style=""font-size:40px;"">Which word describes you more?</p>","1","2","achiever","quitter","PosNeg","18","60","positive","negative","42","quitter","right","true","pairing"
"html-button-response","4","14976","0.0-2.0-0.2","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T01:06:43.226Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","1198","<p style=""font-size:40px;"">Which word describes you more?</p>","0","3","graceful","proficient","PosPos","46","36","positive","positive","10","graceful","left","true","pairing"
"html-button-response","5","15844","0.0-2.0-0.3","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T01:06:43.226Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","866","<p style=""font-size:40px;"">Which word describes you more?</p>","1","4","hopeful","loser","PosNeg","33","64","positive","negative","31","loser","right","true","pairing"
"html-button-response","6","16896","0.0-2.0-0.4","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T01:06:43.226Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","1049","<p style=""font-size:40px;"">Which word describes you more?</p>","0","5","slob","admired","PosNeg","41","45","negative","positive","4","slob","left","true","pairing"
"html-button-response","7","19668","0.0-2.0-0.5","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T01:06:43.226Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","2769","<p style=""font-size:40px;"">Which word describes you more?</p>","0","6","champion","worthless","PosNeg","62","40","positive","negative","22","champion","left","true","pairing"
"html-button-response","8","20703","0.0-2.0-0.6","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T01:06:43.226Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","1032","<p style=""font-size:40px;"">Which word describes you more?</p>","0","7","gloomy","learner","PosNeg","18","58","negative","positive","40","gloomy","left","true","pairing"
"html-button-response","9","21972","0.0-2.0-0.7","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T01:06:43.226Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","1266","<p style=""font-size:40px;"">Which word describes you more?</p>","1","8","defective","empty","NegNeg","17","93","negative","negative","76","empty","right","true","pairing"
