"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","2961","0.0-0.0","1045","26","pre","9","afternoon","2026-03-19","2026-03-31","2026-03-27T22:05:08.120Z","Mozilla/5.0 (Linux; Android 16; Pixel 10 Pro XL Build/BD3A.251105.010.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.120 Mobile Safari/537.36","416","765","420","","","","","","","","","","","","","","","","",""
"instructions","1","5726","0.0-1.0","1045","26","pre","9","afternoon","2026-03-19","2026-03-31","2026-03-27T22:05:08.120Z","Mozilla/5.0 (Linux; Android 16; Pixel 10 Pro XL Build/BD3A.251105.010.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.120 Mobile Safari/537.36","416","765","420","[{""page_index"":0,""viewing_time"":889},{""page_index"":1,""viewing_time"":612},{""page_index"":2,""viewing_time"":649},{""page_index"":3,""viewing_time"":610}]","2761","","","","","","","","","","","","","","",""
"html-keyboard-response","2","6533","0.0-2.0-0.0","1045","26","pre","9","afternoon","2026-03-19","2026-03-31","2026-03-27T22:05:08.120Z","Mozilla/5.0 (Linux; Android 16; Pixel 10 Pro XL Build/BD3A.251105.010.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.120 Mobile Safari/537.36","416","765","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","7874","0.0-2.0-1.0","1045","26","pre","9","afternoon","2026-03-19","2026-03-31","2026-03-27T22:05:08.120Z","Mozilla/5.0 (Linux; Android 16; Pixel 10 Pro XL Build/BD3A.251105.010.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.120 Mobile Safari/537.36","416","765","420","","1331","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","1","vengeful","pleased","PosNeg","49","15","negative","positive","34","pleased","right","true"
"html-keyboard-response","4","8679","0.0-2.0-0.1","1045","26","pre","9","afternoon","2026-03-19","2026-03-31","2026-03-27T22:05:08.120Z","Mozilla/5.0 (Linux; Android 16; Pixel 10 Pro XL Build/BD3A.251105.010.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.120 Mobile Safari/537.36","416","765","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","10498","0.0-2.0-1.1","1045","26","pre","9","afternoon","2026-03-19","2026-03-31","2026-03-27T22:05:08.120Z","Mozilla/5.0 (Linux; Android 16; Pixel 10 Pro XL Build/BD3A.251105.010.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.120 Mobile Safari/537.36","416","765","420","","1812","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","2","unforgivable","untrustworthy","NegNeg","4","20","negative","negative","16","unforgivable","left","true"
"html-keyboard-response","6","11303","0.0-2.0-0.2","1045","26","pre","9","afternoon","2026-03-19","2026-03-31","2026-03-27T22:05:08.120Z","Mozilla/5.0 (Linux; Android 16; Pixel 10 Pro XL Build/BD3A.251105.010.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.120 Mobile Safari/537.36","416","765","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","12961","0.0-2.0-1.2","1045","26","pre","9","afternoon","2026-03-19","2026-03-31","2026-03-27T22:05:08.120Z","Mozilla/5.0 (Linux; Android 16; Pixel 10 Pro XL Build/BD3A.251105.010.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.120 Mobile Safari/537.36","416","765","420","","1651","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","3","appealing","alone","PosNeg","44","84","positive","negative","40","alone","right","true"
"html-keyboard-response","8","13773","0.0-2.0-0.3","1045","26","pre","9","afternoon","2026-03-19","2026-03-31","2026-03-27T22:05:08.120Z","Mozilla/5.0 (Linux; Android 16; Pixel 10 Pro XL Build/BD3A.251105.010.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.120 Mobile Safari/537.36","416","765","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","16050","0.0-2.0-1.3","1045","26","pre","9","afternoon","2026-03-19","2026-03-31","2026-03-27T22:05:08.120Z","Mozilla/5.0 (Linux; Android 16; Pixel 10 Pro XL Build/BD3A.251105.010.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.120 Mobile Safari/537.36","416","765","420","","2268","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","4","coward","jealous","NegNeg","7","56","negative","negative","49","jealous","right","true"
