"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1979","0.0-0.0","1044","42","post","4","evening","2026-03-24","2026-04-06","2026-04-10T00:01:26.844Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","647","240","","","","","","","","","","","","","","","","",""
"instructions","1","7785","0.0-1.0","1044","42","post","4","evening","2026-03-24","2026-04-06","2026-04-10T00:01:26.844Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","647","240","[{""page_index"":0,""viewing_time"":4195},{""page_index"":1,""viewing_time"":483},{""page_index"":2,""viewing_time"":608},{""page_index"":3,""viewing_time"":516}]","5802","","","","","","","","","","","","","","",""
"html-keyboard-response","2","8591","0.0-2.0-0.0","1044","42","post","4","evening","2026-03-24","2026-04-06","2026-04-10T00:01:26.844Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","647","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","9380","0.0-2.0-1.0","1044","42","post","4","evening","2026-03-24","2026-04-06","2026-04-10T00:01:26.844Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","647","240","","784","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","1","alone","helpless","NegNeg","94","10","negative","negative","84","helpless","right","true"
"html-keyboard-response","4","10182","0.0-2.0-0.1","1044","42","post","4","evening","2026-03-24","2026-04-06","2026-04-10T00:01:26.844Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","647","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","10984","0.0-2.0-1.1","1044","42","post","4","evening","2026-03-24","2026-04-06","2026-04-10T00:01:26.844Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","647","240","","800","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","2","anxious","fun","PosNeg","81","95","negative","positive","14","fun","right","true"
"html-keyboard-response","6","11787","0.0-2.0-0.2","1044","42","post","4","evening","2026-03-24","2026-04-06","2026-04-10T00:01:26.844Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","647","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","12687","0.0-2.0-1.2","1044","42","post","4","evening","2026-03-24","2026-04-06","2026-04-10T00:01:26.844Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","647","240","","899","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","3","bully","awkward","NegNeg","3","41","negative","negative","38","awkward","right","true"
"html-keyboard-response","8","13490","0.0-2.0-0.3","1044","42","post","4","evening","2026-03-24","2026-04-06","2026-04-10T00:01:26.844Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","647","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","14788","0.0-2.0-1.3","1044","42","post","4","evening","2026-03-24","2026-04-06","2026-04-10T00:01:26.844Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","647","240","","1296","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","4","capable","graceful","PosPos","86","95","positive","positive","9","capable","left","true"
