"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","2341","0.0-0.0","1024","30","pre","10","evening","2026-02-18","2026-03-02","2026-02-28T04:05:19.905Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","","","","","","","","","","","","","","","",""
"instructions","1","7300","0.0-1.0","1024","30","pre","10","evening","2026-02-18","2026-03-02","2026-02-28T04:05:19.905Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","[{""page_index"":0,""viewing_time"":1371},{""page_index"":1,""viewing_time"":624},{""page_index"":2,""viewing_time"":2197},{""page_index"":3,""viewing_time"":765}]","4957","","","","","","","","","","","","","","",""
"html-keyboard-response","2","8104","0.0-2.0-0.0","1024","30","pre","10","evening","2026-02-18","2026-03-02","2026-02-28T04:05:19.905Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","10096","0.0-2.0-1.0","1024","30","pre","10","evening","2026-02-18","2026-03-02","2026-02-28T04:05:19.905Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","1990","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","1","sensible","attractive","PosPos","70","100","positive","positive","30","sensible","left","true"
"html-keyboard-response","4","10899","0.0-2.0-0.1","1024","30","pre","10","evening","2026-02-18","2026-03-02","2026-02-28T04:05:19.905Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","11910","0.0-2.0-1.1","1024","30","pre","10","evening","2026-02-18","2026-03-02","2026-02-28T04:05:19.905Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","1009","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","2","legendary","fraud","PosNeg","1","0","positive","negative","1","legendary","left","true"
"html-keyboard-response","6","12712","0.0-2.0-0.2","1024","30","pre","10","evening","2026-02-18","2026-03-02","2026-02-28T04:05:19.905Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","15223","0.0-2.0-1.2","1024","30","pre","10","evening","2026-02-18","2026-03-02","2026-02-28T04:05:19.905Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","2509","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","3","deceitful","sadistic","NegNeg","0","0","negative","negative","0","sadistic","right","true"
"html-keyboard-response","8","16025","0.0-2.0-0.3","1024","30","pre","10","evening","2026-02-18","2026-03-02","2026-02-28T04:05:19.905Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","17187","0.0-2.0-1.3","1024","30","pre","10","evening","2026-02-18","2026-03-02","2026-02-28T04:05:19.905Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","1160","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","4","proficient","sadistic","PosNeg","100","0","positive","negative","100","proficient","left","true"
"html-keyboard-response","10","17989","0.0-2.0-0.4","1024","30","pre","10","evening","2026-02-18","2026-03-02","2026-02-28T04:05:19.905Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
