"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1566","0.0-0.0","1086","27","pre","9","evening","2026-05-12","2026-05-24","2026-05-21T02:40:21.719Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","","","","","","","","","","","","","","","",""
"instructions","1","6365","0.0-1.0","1086","27","pre","9","evening","2026-05-12","2026-05-24","2026-05-21T02:40:21.719Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","[{""page_index"":0,""viewing_time"":1811},{""page_index"":1,""viewing_time"":686},{""page_index"":2,""viewing_time"":1433},{""page_index"":3,""viewing_time"":866}]","4796","","","","","","","","","","","","","","",""
"html-keyboard-response","2","7169","0.0-2.0-0.0","1086","27","pre","9","evening","2026-05-12","2026-05-24","2026-05-21T02:40:21.719Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","9659","0.0-2.0-1.0","1086","27","pre","9","evening","2026-05-12","2026-05-24","2026-05-21T02:40:21.719Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","2484","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","1","achiever","energetic","PosPos","74","73","positive","positive","1","achiever","left","true"
"html-keyboard-response","4","10461","0.0-2.0-0.1","1086","27","pre","9","evening","2026-05-12","2026-05-24","2026-05-21T02:40:21.719Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","13175","0.0-2.0-1.1","1086","27","pre","9","evening","2026-05-12","2026-05-24","2026-05-21T02:40:21.719Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","2709","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","2","blissful","failure","PosNeg","39","4","positive","negative","35","failure","right","true"
"html-keyboard-response","6","13978","0.0-2.0-0.2","1086","27","pre","9","evening","2026-05-12","2026-05-24","2026-05-21T02:40:21.719Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","16035","0.0-2.0-1.2","1086","27","pre","9","evening","2026-05-12","2026-05-24","2026-05-21T02:40:21.719Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","2055","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","3","helpless","anxious","NegNeg","32","86","negative","negative","54","anxious","right","true"
"html-keyboard-response","8","16837","0.0-2.0-0.3","1086","27","pre","9","evening","2026-05-12","2026-05-24","2026-05-21T02:40:21.719Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","17915","0.0-2.0-1.3","1086","27","pre","9","evening","2026-05-12","2026-05-24","2026-05-21T02:40:21.719Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","1076","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","4","witty","anxious","PosNeg","12","86","positive","negative","74","anxious","right","true"
"html-keyboard-response","10","18718","0.0-2.0-0.4","1086","27","pre","9","evening","2026-05-12","2026-05-24","2026-05-21T02:40:21.719Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
