"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","2414","0.0-0.0","1014","50","post","7","afternoon","2026-02-05","2026-02-17","2026-02-23T21:29:12.128Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","","","","","","","","","","","","","","","",""
"instructions","1","6254","0.0-1.0","1014","50","post","7","afternoon","2026-02-05","2026-02-17","2026-02-23T21:29:12.128Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","[{""page_index"":0,""viewing_time"":575},{""page_index"":1,""viewing_time"":568},{""page_index"":2,""viewing_time"":1860},{""page_index"":3,""viewing_time"":832}]","3837","","","","","","","","","","","","","","",""
"html-keyboard-response","2","7059","0.0-2.0-0.0","1014","50","post","7","afternoon","2026-02-05","2026-02-17","2026-02-23T21:29:12.128Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","9268","0.0-2.0-1.0","1014","50","post","7","afternoon","2026-02-05","2026-02-17","2026-02-23T21:29:12.128Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","2203","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","1","vengeful","spectacular","PosNeg","0","85","negative","positive","85","spectacular","right","true"
"html-keyboard-response","4","10071","0.0-2.0-0.1","1014","50","post","7","afternoon","2026-02-05","2026-02-17","2026-02-23T21:29:12.128Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","12893","0.0-2.0-1.1","1014","50","post","7","afternoon","2026-02-05","2026-02-17","2026-02-23T21:29:12.128Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","2818","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","2","hateful","liar","NegNeg","18","5","negative","negative","13","liar","right","true"
"html-keyboard-response","6","13695","0.0-2.0-0.2","1014","50","post","7","afternoon","2026-02-05","2026-02-17","2026-02-23T21:29:12.128Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","15058","0.0-2.0-1.2","1014","50","post","7","afternoon","2026-02-05","2026-02-17","2026-02-23T21:29:12.128Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","1358","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","3","burden","hesitant","NegNeg","0","38","negative","negative","38","hesitant","right","true"
"html-keyboard-response","8","15861","0.0-2.0-0.3","1014","50","post","7","afternoon","2026-02-05","2026-02-17","2026-02-23T21:29:12.128Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","17188","0.0-2.0-1.3","1014","50","post","7","afternoon","2026-02-05","2026-02-17","2026-02-23T21:29:12.128Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","1324","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","4","tolerant","thoughtful","PosPos","57","97","positive","positive","40","tolerant","left","true"
"html-keyboard-response","10","17990","0.0-2.0-0.4","1014","50","post","7","afternoon","2026-02-05","2026-02-17","2026-02-23T21:29:12.128Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","11","18924","0.0-2.0-1.4","1014","50","post","7","afternoon","2026-02-05","2026-02-17","2026-02-23T21:29:12.128Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","932","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","5","merciful","easygoing","PosPos","11","87","positive","positive","76","easygoing","right","true"
"html-keyboard-response","12","19727","0.0-2.0-0.5","1014","50","post","7","afternoon","2026-02-05","2026-02-17","2026-02-23T21:29:12.128Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
