"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1509","0.0-0.0","1086","12","pre","4","evening","2026-05-12","2026-05-24","2026-05-16T02:03:00.152Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","","","","","","","","","","","","","","","",""
"instructions","1","9801","0.0-1.0","1086","12","pre","4","evening","2026-05-12","2026-05-24","2026-05-16T02:03:00.152Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","[{""page_index"":0,""viewing_time"":2705},{""page_index"":1,""viewing_time"":623},{""page_index"":2,""viewing_time"":2996},{""page_index"":3,""viewing_time"":1966}]","8291","","","","","","","","","","","","","","",""
"html-keyboard-response","2","10607","0.0-2.0-0.0","1086","12","pre","4","evening","2026-05-12","2026-05-24","2026-05-16T02:03:00.152Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","13393","0.0-2.0-1.0","1086","12","pre","4","evening","2026-05-12","2026-05-24","2026-05-16T02:03:00.152Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","2783","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","1","creep","bully","NegNeg","0","4","negative","negative","4","bully","right","true"
"html-keyboard-response","4","14197","0.0-2.0-0.1","1086","12","pre","4","evening","2026-05-12","2026-05-24","2026-05-16T02:03:00.152Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","15789","0.0-2.0-1.1","1086","12","pre","4","evening","2026-05-12","2026-05-24","2026-05-16T02:03:00.152Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","1590","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","2","blissful","authentic","PosPos","39","74","positive","positive","35","authentic","right","true"
"html-keyboard-response","6","16592","0.0-2.0-0.2","1086","12","pre","4","evening","2026-05-12","2026-05-24","2026-05-16T02:03:00.152Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","18203","0.0-2.0-1.2","1086","12","pre","4","evening","2026-05-12","2026-05-24","2026-05-16T02:03:00.152Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","1609","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","3","coward","cruel","NegNeg","46","2","negative","negative","44","coward","left","true"
"html-keyboard-response","8","19005","0.0-2.0-0.3","1086","12","pre","4","evening","2026-05-12","2026-05-24","2026-05-16T02:03:00.152Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","20149","0.0-2.0-1.3","1086","12","pre","4","evening","2026-05-12","2026-05-24","2026-05-16T02:03:00.152Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","623","420","","1142","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","4","learner","jerk","PosNeg","86","2","positive","negative","84","learner","left","true"
