"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1343","0.0-0.0","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","","","","","","","","","","","","","","","","",""
"instructions","1","3764","0.0-1.0","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","[{""page_index"":0,""viewing_time"":709},{""page_index"":1,""viewing_time"":507},{""page_index"":2,""viewing_time"":606},{""page_index"":3,""viewing_time"":594}]","2417","","","","","","","","","","","","","","",""
"html-keyboard-response","2","4570","0.0-2.0-0.0","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","8142","0.0-2.0-1.0","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","","3564","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","1","selfish","carefree","PosNeg","21","20","negative","positive","1","carefree","right","true"
"html-keyboard-response","4","8947","0.0-2.0-0.1","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","12697","0.0-2.0-1.1","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","","3743","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","2","untrustworthy","grateful","PosNeg","0","89","negative","positive","89","grateful","right","true"
"html-keyboard-response","6","13500","0.0-2.0-0.2","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","18507","0.0-2.0-1.2","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","","null","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","null","pairing","3","irritating","creep","NegNeg","5","8","negative","negative","3","null","null","false"
"html-keyboard-response","8","19313","0.0-2.0-0.3","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","21349","0.0-2.0-1.3","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","","2034","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","4","learner","disastrous","PosNeg","100","1","positive","negative","99","learner","left","true"
"html-keyboard-response","10","22152","0.0-2.0-0.4","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","11","25363","0.0-2.0-1.4","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","","3207","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","5","excited","sadistic","PosNeg","27","14","positive","negative","13","excited","left","true"
"html-keyboard-response","12","26166","0.0-2.0-0.5","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","13","30359","0.0-2.0-1.5","1032","20","pre","7","afternoon","2026-04-15","2026-04-27","2026-04-21T22:17:22.816Z","Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36","394","719","420","","4189","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","6","dull","entertaining","PosNeg","6","57","negative","positive","51","entertaining","right","true"
