"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1324","0.0-0.0","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","","","","","","","","","","","","","","","",""
"instructions","1","6648","0.0-1.0","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","[{""page_index"":0,""viewing_time"":1227},{""page_index"":1,""viewing_time"":1019},{""page_index"":2,""viewing_time"":2039},{""page_index"":3,""viewing_time"":1034}]","5320","","","","","","","","","","","","","","",""
"html-keyboard-response","2","7452","0.0-2.0-0.0","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","9310","0.0-2.0-1.0","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","1852","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","1","satisfied","prick","PosNeg","25","0","positive","negative","25","satisfied","left","true"
"html-keyboard-response","4","10114","0.0-2.0-0.1","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","11697","0.0-2.0-1.1","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","1575","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","2","vengeful","jealous","NegNeg","0","73","negative","negative","73","jealous","right","true"
"html-keyboard-response","6","12503","0.0-2.0-0.2","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","13955","0.0-2.0-1.2","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","1446","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","3","sophisticated","spontaneous","PosPos","69","1","positive","positive","68","sophisticated","left","true"
"html-keyboard-response","8","14759","0.0-2.0-0.3","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","16620","0.0-2.0-1.3","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","1853","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","4","terrible","miserable","NegNeg","0","9","negative","negative","9","miserable","right","true"
"html-keyboard-response","10","17424","0.0-2.0-0.4","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","11","18729","0.0-2.0-1.4","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","1300","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","5","repulsive","smart","PosNeg","24","100","negative","positive","76","smart","right","true"
"html-keyboard-response","12","19533","0.0-2.0-0.5","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","13","21736","0.0-2.0-1.5","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","2200","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","6","charming","thoughtful","PosPos","91","64","positive","positive","27","thoughtful","right","true"
"html-keyboard-response","14","22538","0.0-2.0-0.6","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","15","25915","0.0-2.0-1.6","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","3371","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","7","companion","carefree","PosPos","81","37","positive","positive","44","companion","left","true"
"html-keyboard-response","16","26717","0.0-2.0-0.7","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","17","28003","0.0-2.0-1.7","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","1281","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","8","irritating","respectable","PosNeg","21","68","negative","positive","47","respectable","right","true"
"html-keyboard-response","18","28806","0.0-2.0-0.8","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","19","30518","0.0-2.0-1.8","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","1707","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","9","insecure","regretful","NegNeg","68","0","negative","negative","68","insecure","left","true"
"html-keyboard-response","20","31320","0.0-2.0-0.9","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","21","35553","0.0-2.0-1.9","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","4228","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","10","irritating","selfish","NegNeg","21","87","negative","negative","66","selfish","right","true"
"html-keyboard-response","22","36356","0.0-2.0-0.10","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","23","41364","0.0-2.0-1.10","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","null","pairing","11","charming","toxic","PosNeg","91","12","positive","negative","79","null","null","false"
"html-keyboard-response","24","42169","0.0-2.0-0.11","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","25","45834","0.0-2.0-1.11","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","3660","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","12","hesitant","satisfied","PosNeg","67","25","negative","positive","42","hesitant","left","true"
"html-keyboard-response","26","46637","0.0-2.0-0.12","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","27","47880","0.0-2.0-1.12","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","1238","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","13","insecure","blissful","PosNeg","68","1","negative","positive","67","blissful","right","true"
"html-keyboard-response","28","48682","0.0-2.0-0.13","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","29","51414","0.0-2.0-1.13","1098","30","pre","10","evening","2026-05-20","2026-06-01","2026-05-30T02:00:12.695Z","Mozilla/5.0 (Linux; Android 16; SM-S901U Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","328","588","240","","2725","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","14","seeker","smart","PosPos","83","100","positive","positive","17","smart","right","true"
