"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt"
"pavlovia","0","1592","0.0-0.0","",""
"instructions","1","3300","0.0-1.0","[{""page_index"":0,""viewing_time"":1700}]","1701"
