"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt"
"pavlovia","0","2518","0.0-0.0","",""
"instructions","1","5015","0.0-1.0","[{""page_index"":0,""viewing_time"":2493}]","2494"
