"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1409","0.0-0.0","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","","","","","","","","","","","","","","","",""
"instructions","1","19510","0.0-1.0","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","[{""page_index"":0,""viewing_time"":16250},{""page_index"":1,""viewing_time"":401},{""page_index"":2,""viewing_time"":836},{""page_index"":3,""viewing_time"":605}]","18092","","","","","","","","","","","","","","",""
"html-keyboard-response","2","20315","0.0-2.0-0.0","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","21432","0.0-2.0-1.0","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","1111","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","1","awkward","selfish","NegNeg","74","16","negative","negative","58","awkward","left","true"
"html-keyboard-response","4","22235","0.0-2.0-0.1","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","24543","0.0-2.0-1.1","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","2304","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","2","phony","awkward","NegNeg","7","74","negative","negative","67","phony","left","true"
"html-keyboard-response","6","25348","0.0-2.0-0.2","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","26194","0.0-2.0-1.2","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","843","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","3","honest","blissful","PosPos","80","74","positive","positive","6","honest","left","true"
"html-keyboard-response","8","26997","0.0-2.0-0.3","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","27931","0.0-2.0-1.3","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","932","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","4","phony","lovable","PosNeg","7","85","negative","positive","78","lovable","right","true"
"html-keyboard-response","10","28733","0.0-2.0-0.4","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","11","29063","0.0-2.0-1.4","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","329","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","5","negligent","reliable","PosNeg","22","73","negative","positive","51","reliable","right","true"
"html-keyboard-response","12","29866","0.0-2.0-0.5","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","13","30618","0.0-2.0-1.5","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","750","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","6","successful","esteemed","PosPos","92","26","positive","positive","66","successful","left","true"
"html-keyboard-response","14","31421","0.0-2.0-0.6","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","15","32082","0.0-2.0-1.6","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","656","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","7","liar","esteemed","PosNeg","74","26","negative","positive","48","esteemed","right","true"
"html-keyboard-response","16","32885","0.0-2.0-0.7","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","17","33664","0.0-2.0-1.7","1065","43","post","5","morning","2026-05-05","2026-05-19","2026-05-23T05:17:53.327Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","240","","776","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","8","hopeless","loser","NegNeg","16","20","negative","negative","4","hopeless","left","true"
