"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","5146","0.0-0.0","1107","5","pre","2","afternoon","2026-06-03","2026-06-15","2026-06-04T18:59:13.089Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","379","705","240","","","","","","","","","","","","","","","","",""
"instructions","1","66836","0.0-1.0","1107","5","pre","2","afternoon","2026-06-03","2026-06-15","2026-06-04T18:59:13.089Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","379","705","240","[{""page_index"":0,""viewing_time"":22572},{""page_index"":1,""viewing_time"":8068},{""page_index"":2,""viewing_time"":26692},{""page_index"":3,""viewing_time"":4348}]","61681","","","","","","","","","","","","","","",""
"html-keyboard-response","2","67647","0.0-2.0-0.0","1107","5","pre","2","afternoon","2026-06-03","2026-06-15","2026-06-04T18:59:13.089Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","379","705","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","70771","0.0-2.0-1.0","1107","5","pre","2","afternoon","2026-06-03","2026-06-15","2026-06-04T18:59:13.089Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","379","705","240","","3112","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","1","witty","violent","PosNeg","81","0","positive","negative","81","witty","left","true"
"html-keyboard-response","4","71574","0.0-2.0-0.1","1107","5","pre","2","afternoon","2026-06-03","2026-06-15","2026-06-04T18:59:13.089Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","379","705","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","76016","0.0-2.0-1.1","1107","5","pre","2","afternoon","2026-06-03","2026-06-15","2026-06-04T18:59:13.089Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","379","705","240","","4434","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","2","awkward","idealistic","PosNeg","84","49","negative","positive","35","awkward","left","true"
"html-keyboard-response","6","76818","0.0-2.0-0.2","1107","5","pre","2","afternoon","2026-06-03","2026-06-15","2026-06-04T18:59:13.089Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","379","705","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","81824","0.0-2.0-1.2","1107","5","pre","2","afternoon","2026-06-03","2026-06-15","2026-06-04T18:59:13.089Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","379","705","240","","null","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","null","pairing","3","blissful","uninvited","PosNeg","6","15","positive","negative","9","null","null","false"
"html-keyboard-response","8","82630","0.0-2.0-0.3","1107","5","pre","2","afternoon","2026-06-03","2026-06-15","2026-06-04T18:59:13.089Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","379","705","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","87632","0.0-2.0-1.3","1107","5","pre","2","afternoon","2026-06-03","2026-06-15","2026-06-04T18:59:13.089Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","379","705","240","","null","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","null","pairing","4","rude","clever","PosNeg","0","59","negative","positive","59","null","null","false"
"html-keyboard-response","10","88437","0.0-2.0-0.4","1107","5","pre","2","afternoon","2026-06-03","2026-06-15","2026-06-04T18:59:13.089Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","379","705","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","11","93051","0.0-2.0-1.4","1107","5","pre","2","afternoon","2026-06-03","2026-06-15","2026-06-04T18:59:13.089Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","379","705","240","","4605","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","5","negligent","alone","NegNeg","6","12","negative","negative","6","alone","right","true"
"html-keyboard-response","12","93853","0.0-2.0-0.5","1107","5","pre","2","afternoon","2026-06-03","2026-06-15","2026-06-04T18:59:13.089Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36","379","705","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
