"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1178","0.0-0.0","1107","21","pre","7","evening","2026-06-03","2026-06-15","2026-06-10T00:54:36.619Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","379","705","240","","","","","","","","","","","","","","","","",""
"instructions","1","4689","0.0-1.0","1107","21","pre","7","evening","2026-06-03","2026-06-15","2026-06-10T00:54:36.619Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","379","705","240","[{""page_index"":0,""viewing_time"":1074},{""page_index"":1,""viewing_time"":713},{""page_index"":2,""viewing_time"":888},{""page_index"":3,""viewing_time"":831}]","3507","","","","","","","","","","","","","","",""
"html-keyboard-response","2","5493","0.0-2.0-0.0","1107","21","pre","7","evening","2026-06-03","2026-06-15","2026-06-10T00:54:36.619Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","379","705","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","8407","0.0-2.0-1.0","1107","21","pre","7","evening","2026-06-03","2026-06-15","2026-06-10T00:54:36.619Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","379","705","240","","2905","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","1","pleased","traitor","PosNeg","51","0","positive","negative","51","pleased","left","true"
"html-keyboard-response","4","9210","0.0-2.0-0.1","1107","21","pre","7","evening","2026-06-03","2026-06-15","2026-06-10T00:54:36.619Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","379","705","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","10402","0.0-2.0-1.1","1107","21","pre","7","evening","2026-06-03","2026-06-15","2026-06-10T00:54:36.619Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","379","705","240","","1187","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","2","dull","alluring","PosNeg","85","0","negative","positive","85","dull","left","true"
"html-keyboard-response","6","11205","0.0-2.0-0.2","1107","21","pre","7","evening","2026-06-03","2026-06-15","2026-06-10T00:54:36.619Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","379","705","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","13041","0.0-2.0-1.2","1107","21","pre","7","evening","2026-06-03","2026-06-15","2026-06-10T00:54:36.619Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","379","705","240","","1829","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","3","hopeless","hesitant","NegNeg","1","72","negative","negative","71","hesitant","right","true"
"html-keyboard-response","8","13844","0.0-2.0-0.3","1107","21","pre","7","evening","2026-06-03","2026-06-15","2026-06-10T00:54:36.619Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","379","705","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","16085","0.0-2.0-1.3","1107","21","pre","7","evening","2026-06-03","2026-06-15","2026-06-10T00:54:36.619Z","Mozilla/5.0 (Linux; Android 14; moto g 5G - 2023 Build/U1TPNS34.26-78-3-33; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.215 Mobile Safari/537.36","379","705","240","","2237","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","4","asset","graceful","PosPos","91","2","positive","positive","89","asset","left","true"
