"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt"
"pavlovia","0","1428","0.0-0.0","",""
"instructions","1","2516","0.0-1.0","[{""page_index"":0,""viewing_time"":1082}]","1082"
