"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1502","0.0-0.0","1088","2","pre","1","afternoon","2026-04-24","2026-05-07","2026-04-24T20:01:44.599Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","","","","","","","","","","","","","","","",""
"instructions","1","18232","0.0-1.0","1088","2","pre","1","afternoon","2026-04-24","2026-05-07","2026-04-24T20:01:44.599Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","[{""page_index"":0,""viewing_time"":2954},{""page_index"":1,""viewing_time"":4408},{""page_index"":2,""viewing_time"":6574},{""page_index"":3,""viewing_time"":2786}]","16723","","","","","","","","","","","","","","",""
"html-keyboard-response","2","19038","0.0-2.0-0.0","1088","2","pre","1","afternoon","2026-04-24","2026-05-07","2026-04-24T20:01:44.599Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","20050","0.0-2.0-1.0","1088","2","pre","1","afternoon","2026-04-24","2026-05-07","2026-04-24T20:01:44.599Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","1006","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","1","quitter","smiley","PosNeg","48","96","negative","positive","48","smiley","right","true"
"html-keyboard-response","4","20852","0.0-2.0-0.1","1088","2","pre","1","afternoon","2026-04-24","2026-05-07","2026-04-24T20:01:44.599Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","21935","0.0-2.0-1.1","1088","2","pre","1","afternoon","2026-04-24","2026-05-07","2026-04-24T20:01:44.599Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","1079","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","2","tolerant","hateful","PosNeg","20","3","positive","negative","17","tolerant","left","true"
"html-keyboard-response","6","22738","0.0-2.0-0.2","1088","2","pre","1","afternoon","2026-04-24","2026-05-07","2026-04-24T20:01:44.599Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","23918","0.0-2.0-1.2","1088","2","pre","1","afternoon","2026-04-24","2026-05-07","2026-04-24T20:01:44.599Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","1176","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","3","expert","distressed","PosNeg","7","86","positive","negative","79","distressed","right","true"
"html-keyboard-response","8","24720","0.0-2.0-0.3","1088","2","pre","1","afternoon","2026-04-24","2026-05-07","2026-04-24T20:01:44.599Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","26206","0.0-2.0-1.3","1088","2","pre","1","afternoon","2026-04-24","2026-05-07","2026-04-24T20:01:44.599Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","240","","1483","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","4","irresponsible","problematic","NegNeg","2","3","negative","negative","1","irresponsible","left","true"
