"trial_type","trial_index","time_elapsed","internal_node_id","BASE_QUALTRICS_ID","PUNS_ID","baseline_date","baseline_time","session_day","session_slot","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1543","0.0-0.0","","9000","2025-11-05","22:48:47.718Z","day27","afternoon","2025-12-01T21:48:03.644Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","","","","","","","","","","","","","","","",""
"instructions","1","11960","0.0-1.0","","9000","2025-11-05","22:48:47.718Z","day27","afternoon","2025-12-01T21:48:03.644Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","[{""page_index"":0,""viewing_time"":3639},{""page_index"":1,""viewing_time"":1535},{""page_index"":2,""viewing_time"":2746},{""page_index"":3,""viewing_time"":2496}]","10417","","","","","","","","","","","","","","",""
"html-keyboard-response","2","12766","0.0-2.0-0.0","","9000","2025-11-05","22:48:47.718Z","day27","afternoon","2025-12-01T21:48:03.644Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","14390","0.0-2.0-1.0","","9000","2025-11-05","22:48:47.718Z","day27","afternoon","2025-12-01T21:48:03.644Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","1618","<div class=""prompt"">Which word describes you more?</div>","0","pairing","1","legendary","hateful","PosNeg","18","13","positive","negative","5","legendary","left","true"
"html-keyboard-response","4","15192","0.0-2.0-0.1","","9000","2025-11-05","22:48:47.718Z","day27","afternoon","2025-12-01T21:48:03.644Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","16869","0.0-2.0-1.1","","9000","2025-11-05","22:48:47.718Z","day27","afternoon","2025-12-01T21:48:03.644Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","1675","<div class=""prompt"">Which word describes you more?</div>","0","pairing","2","respectable","valued","PosPos","24","59","positive","positive","35","respectable","left","true"
"html-keyboard-response","6","17671","0.0-2.0-0.2","","9000","2025-11-05","22:48:47.718Z","day27","afternoon","2025-12-01T21:48:03.644Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","19731","0.0-2.0-1.2","","9000","2025-11-05","22:48:47.718Z","day27","afternoon","2025-12-01T21:48:03.644Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","2053","<div class=""prompt"">Which word describes you more?</div>","0","pairing","3","alone","disloyal","NegNeg","31","49","negative","negative","18","alone","left","true"
"html-keyboard-response","8","20534","0.0-2.0-0.3","","9000","2025-11-05","22:48:47.718Z","day27","afternoon","2025-12-01T21:48:03.644Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","21911","0.0-2.0-1.3","","9000","2025-11-05","22:48:47.718Z","day27","afternoon","2025-12-01T21:48:03.644Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","1376","<div class=""prompt"">Which word describes you more?</div>","0","pairing","4","ambitious","violent","PosNeg","26","64","positive","negative","38","ambitious","left","true"
"html-keyboard-response","10","22714","0.0-2.0-0.4","","9000","2025-11-05","22:48:47.718Z","day27","afternoon","2025-12-01T21:48:03.644Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","11","24041","0.0-2.0-1.4","","9000","2025-11-05","22:48:47.718Z","day27","afternoon","2025-12-01T21:48:03.644Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","1326","<div class=""prompt"">Which word describes you more?</div>","0","pairing","5","entertaining","awful","PosNeg","76","30","positive","negative","46","entertaining","left","true"
