"trial_type","trial_index","time_elapsed","internal_node_id","BASE_QUALTRICS_ID","PUNS_ID","baseline_date","baseline_time","session_day","session_slot","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1166","0.0-0.0","","9002","2025-11-06","03:58:36.500Z","day43","afternoon","2025-12-18T20:01:18.786Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","300","","","","","","","","","","","","","","","","",""
"instructions","1","5144","0.0-1.0","","9002","2025-11-06","03:58:36.500Z","day43","afternoon","2025-12-18T20:01:18.786Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","300","[{""page_index"":0,""viewing_time"":1002},{""page_index"":1,""viewing_time"":738},{""page_index"":2,""viewing_time"":1622},{""page_index"":3,""viewing_time"":609}]","3972","","","","","","","","","","","","","","",""
"html-keyboard-response","2","5949","0.0-2.0-0.0","","9002","2025-11-06","03:58:36.500Z","day43","afternoon","2025-12-18T20:01:18.786Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","7565","0.0-2.0-1.0","","9002","2025-11-06","03:58:36.500Z","day43","afternoon","2025-12-18T20:01:18.786Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","300","","1607","<div class=""prompt"">Which word describes you more?</div>","1","pairing","1","fraud","learner","PosNeg","37","80","negative","positive","43","learner","right","true"
"html-keyboard-response","4","8368","0.0-2.0-0.1","","9002","2025-11-06","03:58:36.500Z","day43","afternoon","2025-12-18T20:01:18.786Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","10133","0.0-2.0-1.1","","9002","2025-11-06","03:58:36.500Z","day43","afternoon","2025-12-18T20:01:18.786Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","300","","1760","<div class=""prompt"">Which word describes you more?</div>","0","pairing","2","special","terrible","PosNeg","14","88","positive","negative","74","special","left","true"
"html-keyboard-response","6","10935","0.0-2.0-0.2","","9002","2025-11-06","03:58:36.500Z","day43","afternoon","2025-12-18T20:01:18.786Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","12012","0.0-2.0-1.2","","9002","2025-11-06","03:58:36.500Z","day43","afternoon","2025-12-18T20:01:18.786Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","300","","1073","<div class=""prompt"">Which word describes you more?</div>","0","pairing","3","adorable","empty","PosNeg","46","71","positive","negative","25","adorable","left","true"
"html-keyboard-response","8","12814","0.0-2.0-0.3","","9002","2025-11-06","03:58:36.500Z","day43","afternoon","2025-12-18T20:01:18.786Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","13653","0.0-2.0-1.3","","9002","2025-11-06","03:58:36.500Z","day43","afternoon","2025-12-18T20:01:18.786Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","396","714","300","","835","<div class=""prompt"">Which word describes you more?</div>","0","pairing","4","smart","failure","PosNeg","82","12","positive","negative","70","smart","left","true"
