"trial_type","trial_index","time_elapsed","internal_node_id","BASE_QUALTRICS_ID","PUNS_ID","baseline_date","baseline_time","session_day","session_slot","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1108","0.0-0.0","","9010","2025-11-10","20:34:00.903Z","day12","afternoon","2025-11-21T21:43:27.790Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","1440","778","300","","","","","","","","","","","","","","","","",""
"instructions","1","5053","0.0-1.0","","9010","2025-11-10","20:34:00.903Z","day12","afternoon","2025-11-21T21:43:27.790Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","1440","778","300","[{""page_index"":0,""viewing_time"":1776},{""page_index"":1,""viewing_time"":617},{""page_index"":2,""viewing_time"":850},{""page_index"":3,""viewing_time"":701}]","3944","","","","","","","","","","","","","","",""
"html-keyboard-response","2","5856","0.0-2.0-0.0","","9010","2025-11-10","20:34:00.903Z","day12","afternoon","2025-11-21T21:43:27.790Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","1440","778","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","6854","0.0-2.0-1.0","","9010","2025-11-10","20:34:00.903Z","day12","afternoon","2025-11-21T21:43:27.790Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","1440","778","300","","995","<div class=""prompt"">Which word describes you more?</div>","1","pairing","1","parasite","committed","PosNeg","6","74","negative","positive","68","committed","right","true"
"html-keyboard-response","4","7656","0.0-2.0-0.1","","9010","2025-11-10","20:34:00.903Z","day12","afternoon","2025-11-21T21:43:27.790Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","1440","778","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","8386","0.0-2.0-1.1","","9010","2025-11-10","20:34:00.903Z","day12","afternoon","2025-11-21T21:43:27.790Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","1440","778","300","","729","<div class=""prompt"">Which word describes you more?</div>","1","pairing","2","adorable","reject","PosNeg","27","21","positive","negative","6","reject","right","true"
"html-keyboard-response","6","9188","0.0-2.0-0.2","","9010","2025-11-10","20:34:00.903Z","day12","afternoon","2025-11-21T21:43:27.790Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","1440","778","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","9585","0.0-2.0-1.2","","9010","2025-11-10","20:34:00.903Z","day12","afternoon","2025-11-21T21:43:27.790Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","1440","778","300","","395","<div class=""prompt"">Which word describes you more?</div>","0","pairing","3","miserable","talented","PosNeg","63","29","negative","positive","34","miserable","left","true"
"html-keyboard-response","8","10388","0.0-2.0-0.3","","9010","2025-11-10","20:34:00.903Z","day12","afternoon","2025-11-21T21:43:27.790Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","1440","778","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","10769","0.0-2.0-1.3","","9010","2025-11-10","20:34:00.903Z","day12","afternoon","2025-11-21T21:43:27.790Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","1440","778","300","","379","<div class=""prompt"">Which word describes you more?</div>","1","pairing","4","degenerate","cynic","NegNeg","24","60","negative","negative","36","cynic","right","true"
