"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","2706","0.0-0.0","1024","54","post","8","evening","2026-02-18","2026-03-02","2026-03-11T01:32:30.125Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","420","","","","","","","","","","","","","","","","",""
"instructions","1","16303","0.0-1.0","1024","54","post","8","evening","2026-02-18","2026-03-02","2026-03-11T01:32:30.125Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","420","[{""page_index"":0,""viewing_time"":2903},{""page_index"":1,""viewing_time"":1338},{""page_index"":2,""viewing_time"":2281},{""page_index"":3,""viewing_time"":7073}]","13596","","","","","","","","","","","","","","",""
"html-keyboard-response","2","17106","0.0-2.0-0.0","1024","54","post","8","evening","2026-02-18","2026-03-02","2026-03-11T01:32:30.125Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","18500","0.0-2.0-1.0","1024","54","post","8","evening","2026-02-18","2026-03-02","2026-03-11T01:32:30.125Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","420","","1388","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","1","irresponsible","spontaneous","PosNeg","0","95","negative","positive","95","spontaneous","right","true"
"html-keyboard-response","4","19302","0.0-2.0-0.1","1024","54","post","8","evening","2026-02-18","2026-03-02","2026-03-11T01:32:30.125Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","20896","0.0-2.0-1.1","1024","54","post","8","evening","2026-02-18","2026-03-02","2026-03-11T01:32:30.125Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","420","","1592","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","2","clever","satisfied","PosPos","100","89","positive","positive","11","clever","left","true"
"html-keyboard-response","6","21698","0.0-2.0-0.2","1024","54","post","8","evening","2026-02-18","2026-03-02","2026-03-11T01:32:30.125Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","23058","0.0-2.0-1.2","1024","54","post","8","evening","2026-02-18","2026-03-02","2026-03-11T01:32:30.125Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","420","","1358","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","3","satisfied","goodwilled","PosPos","89","100","positive","positive","11","satisfied","left","true"
"html-keyboard-response","8","23860","0.0-2.0-0.3","1024","54","post","8","evening","2026-02-18","2026-03-02","2026-03-11T01:32:30.125Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","420","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","25939","0.0-2.0-1.3","1024","54","post","8","evening","2026-02-18","2026-03-02","2026-03-11T01:32:30.125Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","420","","2076","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","4","dull","hopeless","NegNeg","7","97","negative","negative","90","dull","left","true"
