dsb_bin,pred_mean,lower_2_5,upper_97_5,mean,se
-0.5,1.2158721026301385,1.1473637706637383,1.2869724826216697,1.3985999999999998,0.07698694694556993
-0.4,1.3195774283647537,1.2749800752103329,1.3655594521164893,1.4587,0.08055425190516016
-0.3,1.4357713652014732,1.3721807624101638,1.4933289029300212,1.5425200000000001,0.08348124779453966
-0.2,1.5828313527703284,1.5275542968511582,1.6554467665553092,1.5912600000000001,0.08681995795898544
-0.1,1.7154198011159898,1.618287321805954,1.80964234906435,1.7372999999999998,0.12570662605182487
-0.0,1.792792557287216,1.7330279168486595,1.8576639000177382,1.8601400000000001,0.11612841498387323
0.1,1.7428020205497743,1.661950159072876,1.8077456011772155,1.74442,0.11282640677902789
0.2,1.680765705513954,1.616375301718712,1.7412292115092278,1.6453200000000001,0.09615578453738496
0.3,1.5479998206019403,1.4833622058033944,1.6096255246400832,1.5671000000000002,0.08189103532540462
0.4,1.425018230545521,1.3650489414930345,1.4812043927311898,1.48788,0.06732245341142383
0.5,1.3288065787553789,1.2581821019053459,1.3886789658069612,1.46976,0.07127838101416166
